list,trial_num,item_num,item
1,1,NA,NA
1,2,NA,NA
1,3,2vs2,table
1,4,3vs1,lunchbox
1,5,3vs1,chair
1,6,1vs1,plate
1,7,3vs1,house
1,8,1vs1,lunchbox
1,9,2vs2,chair
1,10,2vs1,friend
1,11,3vs1,table
1,12,1vs1,friend
1,13,2vs2,house
1,14,2vs1,plate
1,15,1vs1,house
1,16,2vs1,lunchbox
1,17,2vs1,table
1,18,2vs2,friend
2,1,NA,NA
2,2,NA,NA
2,3,2vs2,lunchbox
2,4,2vs1,chair
2,5,3vs1,house
2,6,2vs2,table
2,7,2vs1,friend
2,8,2vs2,chair
2,9,2vs2,house
2,10,2vs1,plate
2,11,3vs1,lunchbox
2,12,1vs1,plate
2,13,1vs1,friend
2,14,3vs1,table
2,15,1vs1,table
2,16,2vs1,chair
2,17,3vs1,house
2,18,1vs1,lunchbox