subject id,list,trial number,word,pic1,pic2,pic1type,pic2type,side clicked,chosenpic,response,trial type,datetesting,time,reaction time,comments
141120-01-sc,1,1,practice1_cow,practice1_cow,practice1_lion,familiar,familiar,L,practice1_cow,Y,rec,11/20/14,8:18,2176,
141120-01-sc,1,2,practice2_monkey,practice2_rabbit,practice2_monkey,familiar,familiar,R,practice2_monkey,Y,rec,11/20/14,8:18,1664,
141120-01-sc,1,3,elmo_teddybear,elmo_flower,elmo_teddybear,familiar,familiar,R,elmo_teddybear,Y,rec,11/20/14,8:18,3356,
141120-01-sc,1,4,filler1,na,na,na,na,na,na,na,filler,11/20/14,8:18,na,
141120-01-sc,1,5,elmo_apple,elmo_apple,elmo_orange,familiar,familiar,L,elmo_apple,Y,rec,11/20/14,8:18,3103,
141120-01-sc,1,6,grover_dog,grover_cat,grover_dog,familiar,familiar,R,grover_dog,Y,rec,11/20/14,8:18,4203,
141120-01-sc,1,7,elmo_banana,elmo_banana,elmo_carrot,familiar,familiar,L,elmo_banana,Y,rec,11/20/14,8:18,1250,
141120-01-sc,1,8,grover_car,grover_car,grover_bicycle,familiar,familiar,R,grover_bicycle,N,rec,11/20/14,8:18,17970,they didn't listen to the sentence at all
141120-01-sc,1,9,ernie_orange,ernie_apple,ernie_orange,familiar,familiar,R,ernie_orange,Y,rec,11/20/14,8:18,2904,
141120-01-sc,1,10,filler2,na,na,na,na,na,na,na,filler,11/20/14,8:18,na,
141120-01-sc,1,11,bert_cat,bert_cat,bert_dog,familiar,familiar,L,bert_cat,Y,rec,11/20/14,8:18,2252,
141120-01-sc,1,12,bert_ball,bert_ball,bert_truck,familiar,familiar,R,bert_truck,N,rec,11/20/14,8:18,8467,
141120-01-sc,1,13,filler3,na,na,na,na,na,na,na,filler,11/20/14,8:18,na,
141120-01-sc,1,14,bert_flower,bert_flower,bert_teddybear,familiar,familiar,L,bert_flower,Y,rec,11/20/14,8:18,2186,
141120-01-sc,1,15,elmo_truck,elmo_ball,elmo_truck,familiar,familiar,R,elmo_truck,Y,rec,11/20/14,8:18,1549,
141120-01-sc,1,16,bert_bicycle,bert_car,bert_bicycle,familiar,familiar,R,bert_bicycle,Y,rec,11/20/14,8:18,1616,
141120-01-sc,1,17,bert_carrot,bert_banana,bert_carrot,familiar,familiar,R,bert_carrot,Y,rec,11/20/14,8:18,2775,
141120-01-sc,1,18,ernie_car,ernie_car,ernie_bicycle,familiar,familiar,L,ernie_car,Y,rec,11/20/14,8:18,1339,
141120-01-sc,1,19,grover_orange,grover_apple,grover_orange,familiar,familiar,R,grover_orange,Y,rec,11/20/14,8:18,4866,
141120-01-sc,1,20,filler4,na,na,na,na,na,na,na,filler,11/20/14,8:18,na,
141120-01-sc,1,21,ernie_teddybear,ernie_flower,ernie_teddybear,familiar,familiar,R,ernie_teddybear,Y,rec,11/20/14,8:18,1972,
141120-01-sc,1,22,grover_ball,grover_ball,grover_truck,familiar,familiar,L,grover_ball,Y,rec,11/20/14,8:18,2098,